ClientId,Serial,Date,Mode,NewSection,OldSection,Result,ScannerId,Section,Row,Seat,Pricecode,PerformanceId,PackageId,ServerId
16,100027554885,01/29/2020 15:58:28,1,AK,outside,VALID,23,60;AK;BMZ;I;M;MT;P;PB;ST;TV;E1E2;VzE;EZ;," "," ",999-(AK) JK 2019/20,999999999,-1,6983
16,100026742362,01/29/2020 15:58:47,1,AK,outside,VALID,123,AK;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6983
16,100039999324,01/29/2020 16:00:00,1,AK,outside,VALID,123,60;AK;I;M;MT;P;L;E1E2;VzE;," "," ",999-(AK) Karlsruher SC,999999999,-1,6983
16,100027554885,01/29/2020 16:01:19,2,outside,AK,EXIT,123,60;AK;BMZ;I;M;MT;P;PB;ST;TV;E1E2;VzE;EZ;," "," ",999-(AK) JK 2019/20,999999999,-1,6983
16,100027554885,01/29/2020 16:01:21,1,AK,outside,REENTERED,123,60;AK;BMZ;I;M;MT;P;PB;ST;TV;E1E2;VzE;EZ;," "," ",999-(AK) JK 2019/20,999999999,-1,6983
16,100026628009,01/29/2020 16:01:27,1,AK,outside,VALID,123,60;AB Gast;AK;BMZ;I;M;MT;P;PB;ST;L;E1E2;VzL;VzE;," "," ",999-(AK) JK 2019/20,999999999,-1,6983
12,100040088370,01/29/2020 16:01:46,1,Bad,outside,VALID,B86,60;AK;BMZ;I;M;MT;P;PB;ST;TV;VzP;," "," ",999-(AK) Karlsruher SC,999999999,-1,6983
17,100028431878,01/29/2020 16:03:24,1,Parking,outside,VALID,164,PK;P1;," "," ",999-(PK) JK 2019/20,999999999,-1,6983
16,100026982597,01/29/2020 16:03:36,1,AK,outside,VALID,123,AK;L;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6983
16,100027549934,01/29/2020 16:05:27,1,AK,outside,VALID,23,60;AK;BMZ;I;M;MT;P;PB;ST;TV;E1E2;VzE;EZ;," "," ",999-(AK) JK 2019/20,999999999,-1,6983
16,100027540150,01/29/2020 16:06:41,1,AK,outside,VALID,23,60;AB Gast;AB Heim;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6983
12,100027728481,01/29/2020 16:06:42,1,Bad,outside,VALID,B86,AK;PB;ST;," "," ",999-(AK) JK 2019/20,999999999,-1,6983
13,100027549934,01/29/2020 16:07:42,2,outside,AK,EXIT,B73,60;AK;BMZ;I;M;MT;P;PB;ST;TV;E1E2;VzE;EZ;," "," ",999-(AK) JK 2019/20,999999999,-1,6983
16,100027539509,01/29/2020 16:09:43,1,AK,outside,VALID,123,60;AB Gast;AB Heim;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6983
16,100040108062,01/29/2020 16:10:23,1,AK,outside,VALID,123,60;AK;BMZ;I;M;," "," ",999-(AK) Karlsruher SC,999999999,-1,6983
16,100027549934,01/29/2020 16:10:36,1,AK,outside,REENTERED,123,60;AK;BMZ;I;M;MT;P;PB;ST;TV;E1E2;VzE;EZ;," "," ",999-(AK) JK 2019/20,999999999,-1,6983
16,100026730608,01/29/2020 16:11:58,1,AK,outside,VALID,23,60;AK;M;MT;P;E1E2;VzP;VzE;," "," ",999-(AK) JK 2019/20,999999999,-1,6983
16,100026982049,01/29/2020 16:13:10,1,AK,outside,VALID,123,AK;L;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6983
