ClientId,Serial,Date,Mode,NewSection,OldSection,Result,ScannerId,Section,Row,Seat,Pricecode,PerformanceId,PackageId,ServerId
16,100034642716,10/26/2019 06:58:49,1,AK,outside,VALID,123,60;AB Gast;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;VzP;," "," ",999-(AK) DSC Arminia Bielefe,999999999,-1,6589
16,100034647581,10/26/2019 07:09:37,1,AK,outside,VALID,123,60;AB Gast;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;VzP;," "," ",999-(AK) DSC Arminia Bielefe,999999999,-1,6589
16,100034643709,10/26/2019 07:11:05,1,AK,outside,VALID,123,60;AB Gast;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;VzP;," "," ",999-(AK) DSC Arminia Bielefe,999999999,-1,6589
16,100034644381,10/26/2019 07:11:34,1,AK,outside,VALID,123,60;AB Gast;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;VzP;," "," ",999-(AK) DSC Arminia Bielefe,999999999,-1,6589
17,100027808981,10/26/2019 07:22:07,1,Parking,outside,VALID,B72,PK;P2;," "," ",999-(PK) JK 2019/20,999999999,-1,6589
12,100026778026,10/26/2019 07:23:11,1,Bad,outside,VALID,B162,AK;G;PB;ST;TV;," "," ",999-(AK) JK 2019/20,999999999,-1,6589
16,100026676818,10/26/2019 07:30:12,1,AK,outside,VALID,123,60;AB Gast;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;VzP;EZ;," "," ",999-(AK) JK 2019/20,999999999,-1,6589
17,100027810201,10/26/2019 07:32:52,1,Parking,outside,VALID,B72,PK;P2;," "," ",999-(PK) JK 2019/20,999999999,-1,6589
17,100027810201,10/26/2019 07:34:16,2,outside,Parking,EXIT,B72,PK;P2;," "," ",999-(PK) JK 2019/20,999999999,-1,6589
12,100034602531,10/26/2019 07:41:32,1,Bad,outside,VALID,B86,60;AK;BMZ;I;M;MT;P;PB;ST;TV;," "," ",999-(AK) DSC Arminia Bielefe,999999999,-1,6589
12,100034609838,10/26/2019 07:41:34,1,Bad,outside,VALID,B86,60;AK;BMZ;I;M;MT;P;PB;ST;TV;," "," ",999-(AK) DSC Arminia Bielefe,999999999,-1,6589
12,100034601680,10/26/2019 07:43:41,1,Bad,outside,VALID,B86,60;AK;BMZ;I;M;MT;P;PB;ST;TV;," "," ",999-(AK) DSC Arminia Bielefe,999999999,-1,6589
12,100034610520,10/26/2019 07:43:43,1,Bad,outside,VALID,B86,60;AK;BMZ;I;M;MT;P;PB;ST;TV;," "," ",999-(AK) DSC Arminia Bielefe,999999999,-1,6589
17,100027994236,10/26/2019 07:44:13,1,Parking,outside,VALID,B72,PK;P2;," "," ",999-(PK) JK 2019/20,999999999,-1,6589
16,100034645233,10/26/2019 07:45:41,1,AK,outside,VALID,123,60;AB Gast;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;VzP;," "," ",999-(AK) DSC Arminia Bielefe,999999999,-1,6589
12,100034592167,10/26/2019 07:45:55,1,Bad,outside,VALID,B86,60;AK;BMZ;I;M;MT;P;PB;ST;TV;," "," ",999-(AK) DSC Arminia Bielefe,999999999,-1,6589
12,100034595707,10/26/2019 07:45:57,1,Bad,outside,VALID,B86,60;AK;BMZ;I;M;MT;P;PB;ST;TV;," "," ",999-(AK) DSC Arminia Bielefe,999999999,-1,6589
12,100034611202,10/26/2019 07:58:40,1,Bad,outside,VALID,B86,60;AK;BMZ;I;M;MT;P;PB;ST;TV;," "," ",999-(AK) DSC Arminia Bielefe,999999999,-1,6589
16,100026594502,10/26/2019 07:58:46,1,AK,outside,VALID,B89,60;AK;BMZ;I;M;PB;ST;TV;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6589
16,100026770127,10/26/2019 07:59:18,1,AK,outside,VALID,123,60;AB Gast;AB Heim;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;VzP;," "," ",999-(AK) JK 2019/20,999999999,-1,6589
12,100034607846,10/26/2019 07:59:39,1,Bad,outside,VALID,B86,60;AK;BMZ;I;M;MT;P;PB;ST;TV;," "," ",999-(AK) DSC Arminia Bielefe,999999999,-1,6589
17,100027793593,10/26/2019 08:00:07,1,Parking,outside,VALID,168,PK;P1;," "," ",999-(PK) JK 2019/20,999999999,-1,6589
16,100026790805,10/26/2019 08:03:52,1,AK,outside,VALID,123,AK;L;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6589
16,100027856140,10/26/2019 08:11:22,1,AK,outside,VALID,B89,60;AB Gast;AB Heim;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6589
16,100026800788,10/26/2019 08:12:24,1,AK,outside,VALID,123,AK;L;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6589
16,100026801498,10/26/2019 08:12:26,1,AK,outside,VALID,123,AK;L;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6589
