ClientId,Serial,Date,Mode,NewSection,OldSection,Result,ScannerId,Section,Row,Seat,Pricecode,PerformanceId,PackageId,ServerId
12345,100054877344,08/29/2021 08:28:05,1,Stadion,outside,VALID,140,AK;ST;H;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
12345,100054878141,08/29/2021 08:28:07,1,Stadion,outside,VALID,140,AK;ST;H;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100055472078,08/29/2021 08:29:02,1,AK,outside,VALID,81,AK;TV;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
12345,100054906849,08/29/2021 08:29:16,1,Stadion,outside,VALID,140,AK;H;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100055472665,08/29/2021 08:29:16,1,AK,outside,VALID,81,AK;TV;IR;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100055467962,08/29/2021 08:31:21,1,AK,outside,VALID,81,AK;TV;IR;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
17,100055363325,08/29/2021 08:33:26,1,Parking,outside,VALID,D81,PK;P2;," "," ",999-(PK) SC Paderborn,999999999,-1,9530
16,100054865021,08/29/2021 08:34:08,1,AK,outside,VALID,23,AK;ST;H;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100054865021,08/29/2021 08:34:15,2,outside,AK,EXIT,23,AK;ST;H;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100054875748,08/29/2021 08:34:41,1,AK,outside,VALID,81,AK;ST;H;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100055442364,08/29/2021 08:36:22,1,AK,outside,VALID,81,AK;G;M;ST;TV;IR;MANN;ORG;H;MED;VIP;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100050992355,08/29/2021 08:38:03,1,AK,outside,VALID,23,AK;G;M;ST;TV;IR;MANN;ORG;H;MED;VIP;A;E4;," "," ",999-(AK) Saison 2021/22,999999999,-1,9530
16,100054800475,08/29/2021 08:43:19,1,AK,outside,VALID,23,AK;VIP;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100054865021,08/29/2021 08:46:13,1,AK,outside,REENTERED,23,AK;ST;H;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100055465093,08/29/2021 08:49:40,1,AK,outside,VALID,81,AK;ST;TV;IR;H;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100055464379,08/29/2021 08:49:43,1,AK,outside,VALID,81,AK;ST;TV;H;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
12345,100054869016,08/29/2021 08:51:45,1,Stadion,outside,VALID,140,AK;ST;H;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
12345,100054869824,08/29/2021 08:51:50,1,Stadion,outside,VALID,140,AK;ST;H;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
12345,100054874949,08/29/2021 08:51:54,1,Stadion,outside,VALID,140,AK;ST;H;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
12345,100054868181,08/29/2021 08:51:59,1,Stadion,outside,VALID,140,AK;ST;H;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100055412987,08/29/2021 08:52:51,1,AK,outside,VALID,23,AK;ST;IR;ORG;H;VIP;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
17,100051264605,08/29/2021 08:55:12,1,Parking,outside,VALID,D81,PK;P2;," "," ",999-(PK) Saison 2021/22,999999999,-1,9530
17,100055360265,08/29/2021 08:57:25,1,Parking,outside,VALID,D81,PK;P2;," "," ",999-(PK) SC Paderborn,999999999,-1,9530
16,100051071343,08/29/2021 08:57:36,1,AK,outside,VALID,23,AK;G;M;ST;TV;IR;MANN;ORG;H;MED;VIP;A;E4;," "," ",999-(AK) Saison 2021/22,999999999,-1,9530
17,100051887092,08/29/2021 08:57:39,1,Parking,outside,VALID,D80,PK;P1;," "," ",999-(PK) Saison 2021/22,999999999,-1,9530
16,100054795074,08/29/2021 08:59:02,1,AK,outside,VALID,23,AK;VIP;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100055407027,08/29/2021 09:01:51,1,AK,outside,VALID,23,AK;G;ST;ORG;H;VIP;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100055457241,08/29/2021 09:02:21,1,AK,outside,VALID,81,AK;TV;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100055456482,08/29/2021 09:02:21,1,AK,outside,VALID,81,AK;TV;IR;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100055460979,08/29/2021 09:02:21,1,AK,outside,VALID,81,AK;TV;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100055455821,08/29/2021 09:02:21,1,AK,outside,VALID,81,AK;TV;IR;MED;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100055461944,08/29/2021 09:02:21,1,AK,outside,VALID,81,AK;TV;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100055462924,08/29/2021 09:02:30,1,AK,outside,VALID,81,AK;TV;IR;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100051077057,08/29/2021 09:03:08,1,AK,outside,VALID,23,AK;G;ST;IR;ORG;H;VIP;A;," "," ",999-(AK) Saison 2021/22,999999999,-1,9530
16,100055412476,08/29/2021 09:03:34,1,AK,outside,VALID,23,AK;ST;IR;ORG;H;VIP;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100051608545,08/29/2021 09:04:44,1,AK,outside,VALID,23,AK;G;ST;ORG;H;VIP;A;," "," ",999-(AK) Saison 2021/22,999999999,-1,9530
16,100055463763,08/29/2021 09:07:57,1,AK,outside,VALID,81,AK;TV;IR;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100055454937,08/29/2021 09:07:57,1,AK,outside,VALID,81,AK;TV;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100055454411,08/29/2021 09:07:57,1,AK,outside,VALID,81,AK;TV;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100055459052,08/29/2021 09:07:57,1,AK,outside,VALID,81,AK;ST;TV;IR;ORG;H;MED;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100055458098,08/29/2021 09:07:57,1,AK,outside,VALID,81,AK;ST;TV;IR;ORG;H;MED;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100051082409,08/29/2021 09:10:09,1,AK,outside,VALID,23,AK;TV;ORG;A;E4;," "," ",999-(AK) Saison 2021/22,999999999,-1,9530
16,100055422289,08/29/2021 09:11:27,1,AK,outside,VALID,23,AK;G;ST;ORG;H;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100051025464,08/29/2021 09:16:12,1,AK,outside,VALID,23,AK;ORG;VIP;A;," "," ",999-(AK) Saison 2021/22,999999999,-1,9530
16,100051027980,08/29/2021 09:16:31,1,AK,outside,VALID,23,AK;ORG;VIP;A;," "," ",999-(AK) Saison 2021/22,999999999,-1,9530
16,100051042634,08/29/2021 09:17:18,1,AK,outside,VALID,23,AK;ORG;VIP;A;," "," ",999-(AK) Saison 2021/22,999999999,-1,9530
16,100051053900,08/29/2021 09:18:39,1,AK,outside,VALID,23,AK;ORG;VIP;A;," "," ",999-(AK) Saison 2021/22,999999999,-1,9530
16,100055388724,08/29/2021 09:20:52,1,AK,outside,VALID,23,AK;ORG;VIP;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100055393387,08/29/2021 09:21:26,1,AK,outside,VALID,23,AK;ORG;VIP;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
12345,100054906200,08/29/2021 09:21:44,1,Stadion,outside,VALID,140,AK;H;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100055389701,08/29/2021 09:22:03,1,AK,outside,VALID,23,AK;ORG;VIP;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100055391603,08/29/2021 09:23:08,1,AK,outside,VALID,23,AK;ORG;VIP;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100055393918,08/29/2021 09:23:48,1,AK,outside,VALID,23,AK;ORG;VIP;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100051033479,08/29/2021 09:25:39,1,AK,outside,VALID,23,AK;ORG;VIP;A;," "," ",999-(AK) Saison 2021/22,999999999,-1,9530
16,100051036220,08/29/2021 09:25:41,1,AK,outside,VALID,23,AK;ORG;VIP;A;," "," ",999-(AK) Saison 2021/22,999999999,-1,9530
17,100052219002,08/29/2021 09:26:29,1,Parking,outside,VALID,D80,PK;P1;," "," ",999-(PK) Saison 2021/22,999999999,-1,9530
16,100054796048,08/29/2021 09:26:50,1,AK,outside,VALID,23,AK;VIP;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100054796896,08/29/2021 09:27:08,1,AK,outside,VALID,23,AK;VIP;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100051036853,08/29/2021 09:28:27,1,AK,outside,VALID,23,AK;ORG;VIP;A;," "," ",999-(AK) Saison 2021/22,999999999,-1,9530
16,100051062221,08/29/2021 09:28:57,1,AK,outside,VALID,23,AK;G;M;ST;TV;IR;MANN;ORG;H;MED;VIP;A;E4;," "," ",999-(AK) Saison 2021/22,999999999,-1,9530
16,100051049128,08/29/2021 09:30:07,1,AK,outside,VALID,23,AK;ORG;VIP;A;," "," ",999-(AK) Saison 2021/22,999999999,-1,9530
16,100051028578,08/29/2021 09:30:24,1,AK,outside,VALID,23,AK;ORG;VIP;A;," "," ",999-(AK) Saison 2021/22,999999999,-1,9530
16,100051085550,08/29/2021 09:31:24,1,AK,outside,VALID,23,AK;TV;ORG;A;E4;," "," ",999-(AK) Saison 2021/22,999999999,-1,9530
16,100051043993,08/29/2021 09:34:01,1,AK,outside,VALID,23,AK;ORG;VIP;A;," "," ",999-(AK) Saison 2021/22,999999999,-1,9530
12345,100054922922,08/29/2021 09:35:04,1,Stadion,outside,VALID,140,AK;H;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
12345,100054904743,08/29/2021 09:35:24,1,Stadion,outside,VALID,140,AK;H;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
12345,100054905605,08/29/2021 09:35:29,1,Stadion,outside,VALID,140,AK;H;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
12345,100054903853,08/29/2021 09:35:34,1,Stadion,outside,VALID,140,AK;H;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100053751992,08/29/2021 09:38:07,1,AK,outside,VALID,23,AK;ORG;VIP;A;," "," ",999-(AK) Saison 2021/22,999999999,-1,9530
16,100051080191,08/29/2021 09:38:46,1,AK,outside,VALID,23,AK;TV;IR;ORG;A;E4;," "," ",999-(AK) Saison 2021/22,999999999,-1,9530
17,100052219903,08/29/2021 09:39:24,1,Parking,outside,VALID,D80,PK;P1;," "," ",999-(PK) Saison 2021/22,999999999,-1,9530
16,100054797619,08/29/2021 09:41:16,1,AK,outside,VALID,23,AK;VIP;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100054798396,08/29/2021 09:42:56,1,AK,outside,VALID,23,AK;VIP;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
12345,100052015386,08/29/2021 09:44:25,1,Stadion,outside,VALID,140,AK;G;ST;," "," ",999-(AK) Saison 2021/22,999999999,-1,9530
17,100050944380,08/29/2021 09:45:14,1,Parking,outside,VALID,D81,PK;P2;," "," ",999-(PK) Saison 2021/22,999999999,-1,9530
12345,100054922197,08/29/2021 09:46:15,1,Stadion,outside,VALID,140,AK;H;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100051086152,08/29/2021 09:46:28,1,AK,outside,VALID,23,AK;ST;TV;IR;ORG;H;VIP;A;E4;," "," ",999-(AK) Saison 2021/22,999999999,-1,9530
12345,100054921444,08/29/2021 09:46:41,1,Stadion,outside,VALID,140,AK;H;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
12345,100054920745,08/29/2021 09:47:04,1,Stadion,outside,VALID,140,AK;H;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
12345,100054920100,08/29/2021 09:47:20,1,Stadion,outside,VALID,140,AK;H;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
16,100054799048,08/29/2021 09:49:18,1,AK,outside,VALID,23,AK;VIP;A;," "," ",999-(AK) SC Paderborn 07,999999999,-1,9530
