ClientId,Serial,Date,Mode,NewSection,OldSection,Result,ScannerId,Section,Row,Seat,Pricecode,PerformanceId,PackageId,ServerId
12,100026847332,08/31/2019 07:02:27,1,Bad,outside,VALID,B86,AK;PB;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
12,100026846101,08/31/2019 07:03:04,1,Bad,outside,VALID,B86,AK;PB;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
12,100026846627,08/31/2019 07:03:20,1,Bad,outside,VALID,B86,AK;PB;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
15,100032755948,08/31/2019 07:04:43,1,VIP,outside,VALID,B108,60;AB Gast;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;VzP;," "," ",999-(AK) FC St. Pauli,999999999,-1,6300
15,100032759995,08/31/2019 07:04:49,1,VIP,outside,VALID,B108,60;AB Gast;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;VzP;," "," ",999-(AK) FC St. Pauli,999999999,-1,6300
15,100026630363,08/31/2019 07:11:50,1,VIP,outside,VALID,B108,60;AB Gast;AB Heim;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;VzP;VzL;VzE;EZ;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
16,100026593654,08/31/2019 07:28:01,1,AK,outside,VALID,B89,60;AK;BMZ;I;M;PB;ST;TV;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
15,100032638931,08/31/2019 07:34:33,1,VIP,outside,VALID,B108,60;AB Gast;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;VzP;EZ;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
15,100027539509,08/31/2019 07:34:36,1,VIP,outside,VALID,B108,60;AB Gast;AB Heim;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
15,100026596440,08/31/2019 07:34:41,1,VIP,outside,VALID,B108,60;AK;BMZ;I;M;PB;ST;TV;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
12,100032714697,08/31/2019 07:41:49,1,Bad,outside,VALID,B162,60;AK;BMZ;I;M;MT;P;PB;ST;TV;," "," ",999-(AK) FC St. Pauli,999999999,-1,6300
12,100032712634,08/31/2019 07:41:53,1,Bad,outside,VALID,B162,60;AK;BMZ;I;M;MT;P;PB;ST;TV;," "," ",999-(AK) FC St. Pauli,999999999,-1,6300
15,100027540150,08/31/2019 07:43:39,1,VIP,outside,VALID,B108,60;AB Gast;AB Heim;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
15,100032759367,08/31/2019 07:47:58,1,VIP,outside,VALID,B108,60;AB Gast;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;VzP;," "," ",999-(AK) FC St. Pauli,999999999,-1,6300
17,100027808981,08/31/2019 07:48:03,1,Parking,outside,VALID,168,PK;P2;," "," ",999-(PK) JK 2019/20,999999999,-1,6300
12,100032744311,08/31/2019 07:50:17,1,Bad,outside,VALID,B162,60;AK;BMZ;I;M;MT;P;PB;ST;TV;VzP;," "," ",999-(AK) FC St. Pauli,999999999,-1,6300
16,100032694460,08/31/2019 07:50:26,1,AK,outside,VALID,23,60;AB Gast;AB Heim;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;," "," ",999-(AK) FC St. Pauli,999999999,-1,6300
16,100032694460,08/31/2019 07:50:34,2,outside,AK,EXIT,23,60;AB Gast;AB Heim;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;," "," ",999-(AK) FC St. Pauli,999999999,-1,6300
12,100032712098,08/31/2019 07:55:35,1,Bad,outside,VALID,B162,60;AK;BMZ;I;M;MT;P;PB;ST;TV;," "," ",999-(AK) FC St. Pauli,999999999,-1,6300
12,100032730061,08/31/2019 07:55:37,1,Bad,outside,VALID,B162,60;AK;BMZ;I;M;MT;P;PB;ST;TV;," "," ",999-(AK) FC St. Pauli,999999999,-1,6300
17,100027994236,08/31/2019 07:57:54,1,Parking,outside,VALID,168,PK;P2;," "," ",999-(PK) JK 2019/20,999999999,-1,6300
17,100028395369,08/31/2019 07:58:30,1,Parking,outside,VALID,168,PK;P2;," "," ",999-(PK) FC ST. Pauli,999999999,-1,6300
16,100027856140,08/31/2019 07:58:44,1,AK,outside,VALID,23,60;AB Gast;AB Heim;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
15,100026770127,08/31/2019 07:58:58,1,VIP,outside,VALID,B108,60;AB Gast;AB Heim;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;VzP;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
15,100026771479,08/31/2019 07:59:00,1,VIP,outside,VALID,B108,AK;P;L;E1E2;VzP;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
15,100026804804,08/31/2019 07:59:40,1,VIP,outside,VALID,B108,AK;L;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
15,100032756799,08/31/2019 08:00:55,1,VIP,outside,VALID,B108,60;AB Gast;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;VzP;," "," ",999-(AK) FC St. Pauli,999999999,-1,6300
12,100032733131,08/31/2019 08:03:10,1,Bad,outside,VALID,B162,60;AK;BMZ;I;M;MT;P;PB;ST;TV;," "," ",999-(AK) FC St. Pauli,999999999,-1,6300
17,100028007127,08/31/2019 08:10:54,1,Parking,outside,VALID,168,PK;P2;," "," ",999-(PK) JK 2019/20,999999999,-1,6300
17,100027988370,08/31/2019 08:13:52,1,Parking,outside,VALID,168,PK;P2;," "," ",999-(PK) JK 2019/20,999999999,-1,6300
15,100032757650,08/31/2019 08:15:37,1,VIP,outside,VALID,B108,60;AB Gast;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;VzP;," "," ",999-(AK) FC St. Pauli,999999999,-1,6300
15,100026791658,08/31/2019 08:18:14,1,VIP,outside,VALID,B108,AK;L;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
17,100027993675,08/31/2019 08:19:36,1,Parking,outside,VALID,168,PK;P2;," "," ",999-(PK) JK 2019/20,999999999,-1,6300
15,100026978562,08/31/2019 08:19:37,1,VIP,outside,VALID,B108,AK;L;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
12,100026820479,08/31/2019 08:20:50,1,Bad,outside,VALID,B162,AK;PB;ST;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
15,100026792369,08/31/2019 08:23:39,1,VIP,outside,VALID,B108,AK;L;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
17,100027500291,08/31/2019 08:23:43,1,Parking,outside,VALID,B96,PK;P1;," "," ",999-(PK) JK 2019/20,999999999,-1,6300
15,100026792999,08/31/2019 08:24:54,1,VIP,outside,VALID,B108,AK;L;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
15,100026774766,08/31/2019 08:25:04,1,VIP,outside,VALID,B108,AK;P;L;E1E2;VzP;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
17,100028679537,08/31/2019 08:25:18,1,Parking,outside,VALID,168,PK;P2;," "," ",999-(PK) JK 2019/20,999999999,-1,6300
15,100026984783,08/31/2019 08:25:19,1,VIP,outside,VALID,B108,AK;L;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
12,100026818984,08/31/2019 08:25:31,1,Bad,outside,VALID,B86,AK;PB;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
16,100027565158,08/31/2019 08:26:32,1,AK,outside,VALID,B89,AB Gast;AK;BMZ;G;M;P;PB;ST;E1E2;VzE;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
12,100026806763,08/31/2019 08:26:48,1,Bad,outside,VALID,B86,AK;PB;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
12,100026823706,08/31/2019 08:27:08,1,Bad,outside,VALID,B86,AK;PB;ST;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
12,100026821864,08/31/2019 08:27:24,1,Bad,outside,VALID,B86,AK;PB;ST;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
16,100027549934,08/31/2019 08:28:42,1,AK,outside,VALID,23,60;AK;BMZ;I;M;MT;P;PB;ST;TV;E1E2;VzE;EZ;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
17,100027995074,08/31/2019 08:28:50,1,Parking,outside,VALID,168,PK;P2;," "," ",999-(PK) JK 2019/20,999999999,-1,6300
12,100026808734,08/31/2019 08:29:23,1,Bad,outside,VALID,B86,AK;PB;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
12,100026811785,08/31/2019 08:30:11,1,Bad,outside,VALID,B86,AK;PB;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
12,100026817406,08/31/2019 08:30:21,1,Bad,outside,VALID,B86,AK;PB;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
12,100026814819,08/31/2019 08:32:03,1,Bad,outside,VALID,B86,AK;PB;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
12,100026808039,08/31/2019 08:32:50,1,Bad,outside,VALID,B86,AK;PB;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
15,100026767187,08/31/2019 08:33:38,1,VIP,outside,VALID,B108,60;AB Gast;AB Heim;AK;BMZ;I;M;P;TV;L;E1E2;VzP;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
12,100026816506,08/31/2019 08:33:51,1,Bad,outside,VALID,B86,AK;PB;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
12,100026815524,08/31/2019 08:34:19,1,Bad,outside,VALID,B86,AK;PB;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
12,100026814293,08/31/2019 08:34:39,1,Bad,outside,VALID,B86,AK;PB;," "," ",999-(AK) JK 2019/20,999999999,-1,6300
