ClientId,Serial,Date,Mode,NewSection,OldSection,Result,ScannerId,Section,Row,Seat,Pricecode,PerformanceId,PackageId,ServerId
16,100028823357,07/16/2019 08:36:28,1,AK,outside,VALID,123,60;AB Gast;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1&E2;VzP;," "," ",999-(AK) Testspiel Paris Sai,999999999,-1,5942
16,100028827122,07/16/2019 08:36:30,1,AK,outside,VALID,123,60;AB Gast;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1&E2;VzP;," "," ",999-(AK) Testspiel Paris Sai,999999999,-1,5942
16,100028831470,07/16/2019 08:36:30,1,AK,outside,VALID,123,60;AB Gast;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1&E2;VzP;," "," ",999-(AK) Testspiel Paris Sai,999999999,-1,5942
17,100027999310,07/16/2019 08:37:40,1,Parking,outside,VALID,C102,PK;P2;," "," ",999-(PK) JK 2019/20,999999999,-1,5942
17,100027997222,07/16/2019 08:42:22,1,Parking,outside,VALID,C102,PK;P2;," "," ",999-(PK) JK 2019/20,999999999,-1,5942
17,100027986657,07/16/2019 08:42:46,1,Parking,outside,VALID,C102,PK;P2;," "," ",999-(PK) JK 2019/20,999999999,-1,5942
17,100028005265,07/16/2019 08:45:11,1,Parking,outside,VALID,C102,PK;P2;," "," ",999-(PK) JK 2019/20,999999999,-1,5942
17,100028000131,07/16/2019 08:46:06,1,Parking,outside,VALID,C102,PK;P2;," "," ",999-(PK) JK 2019/20,999999999,-1,5942
17,100028006237,07/16/2019 08:48:31,1,Parking,outside,VALID,C102,PK;P2;," "," ",999-(PK) JK 2019/20,999999999,-1,5942
17,100028003597,07/16/2019 08:48:42,1,Parking,outside,VALID,C102,PK;P2;," "," ",999-(PK) JK 2019/20,999999999,-1,5942
17,100027989084,07/16/2019 08:52:20,1,Parking,outside,VALID,C102,PK;P2;," "," ",999-(PK) JK 2019/20,999999999,-1,5942
17,100027996358,07/16/2019 08:53:38,1,Parking,outside,VALID,C102,PK;P2;," "," ",999-(PK) JK 2019/20,999999999,-1,5942
