ClientId,Serial,Date,Mode,NewSection,OldSection,Result,ScannerId,Section,Row,Seat,Pricecode,PerformanceId,PackageId,ServerId
15,100026770127,07/27/2019 07:00:16,1,VIP,outside,VALID,B108,60;AB Gast;AB Heim;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;VzP;," "," ",999-(AK) JK 2019/20,999999999,-1,6027
15,100030628983,07/27/2019 07:04:32,1,VIP,outside,VALID,B108,60;AB Gast;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;VzP;," "," ",999-(AK) 1. FC N?rnberg,999999999,-1,6027
15,100030632560,07/27/2019 07:07:54,1,VIP,outside,VALID,B108,60;AB Gast;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;VzP;," "," ",999-(AK) 1. FC N?rnberg,999999999,-1,6027
15,100030631013,07/27/2019 07:20:25,1,VIP,outside,VALID,B108,60;AB Gast;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;VzP;," "," ",999-(AK) 1. FC N?rnberg,999999999,-1,6027
15,100030715708,07/27/2019 07:24:57,1,VIP,outside,VALID,B108,60;AB Gast;AB Heim;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;EZ;," "," ",999-(AK) 1. FC N?rnberg,999999999,-1,6027
15,100030628151,07/27/2019 07:24:58,1,VIP,outside,VALID,B108,60;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;," "," ",999-(AK) 1. FC N?rnberg,999999999,-1,6027
16,100026593654,07/27/2019 07:26:04,1,AK,outside,VALID,B89,60;AK;BMZ;I;M;PB;ST;TV;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6027
15,100026735111,07/27/2019 07:35:16,1,VIP,outside,VALID,B108,60;AK;BMZ;G;I;M;MT;P;PB;ST;TV;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6027
15,100030714810,07/27/2019 07:44:43,1,VIP,outside,VALID,B108,60;AB Gast;AB Heim;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;EZ;," "," ",999-(AK) 1. FC N?rnberg,999999999,-1,6027
15,100027540150,07/27/2019 07:45:57,1,VIP,outside,VALID,B108,60;AB Gast;AB Heim;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6027
15,100027539509,07/27/2019 07:46:07,1,VIP,outside,VALID,B108,60;AB Gast;AB Heim;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;," "," ",999-(AK) JK 2019/20,999999999,-1,6027
16,100026672586,07/27/2019 07:50:36,1,AK,outside,VALID,B89,60;AB Gast;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;VzP;EZ;," "," ",999-(AK) JK 2019/20,999999999,-1,6027
15,100030631827,07/27/2019 07:50:37,1,VIP,outside,VALID,B108,60;AB Gast;AK;BMZ;G;I;M;MT;P;PB;ST;TV;L;E1E2;VzP;," "," ",999-(AK) 1. FC N?rnberg,999999999,-1,6027
17,100027793593,07/27/2019 08:05:33,1,Parking,outside,VALID,B96,PK;P1;," "," ",999-(PK) JK 2019/20,999999999,-1,6027
15,100026772443,07/27/2019 08:12:39,1,VIP,outside,VALID,B108,AK;P;L;E1E2;VzP;," "," ",999-(AK) JK 2019/20,999999999,-1,6027
